Timestamp,TargetLV,CurrentLV,ControlSignal1,VerticalVoltage
18:40:54.444,Ő				0.00,0.00,0.00,2.50
18:40:54.444,0.00,0.00,0.00,2.50
18:40:54.444,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.445,0.00,0.00,0.00,2.50
18:40:54.446,0.00,0.00,0.00,2.50
18:40:54.446,0.00,0.00,0.00,2.50
18:40:54.448,0.00,0.00,0.00,2.50
18:40:54.481,0.00,0.00,0.00,2.50
18:40:54.515,0.00,0.00,0.00,2.50
18:40:54.547,0.00,0.00,0.00,2.50
18:40:54.580,0.00,0.00,0.00,2.50
18:40:54.613,0.00,0.00,0.00,2.50
18:40:54.646,0.00,0.00,0.00,2.50
18:40:54.679,0.00,0.00,0.00,2.50
18:40:54.711,0.00,0.00,0.00,2.50
18:40:54.744,0.00,0.00,0.00,2.50
18:40:54.777,0.00,0.00,0.00,2.50
18:40:54.810,0.00,0.00,0.00,2.50
18:40:54.843,0.00,0.00,0.00,2.50
18:40:54.875,0.00,0.00,0.00,2.50
18:40:54.908,0.00,0.00,0.00,2.50
18:40:54.944,0.00,0.00,0.00,2.50
18:40:54.977,0.00,0.00,0.00,2.50
18:40:55.009,0.00,0.00,0.00,2.50
18:40:55.039,0.00,0.00,0.00,2.50
18:40:55.075,0.00,0.00,0.00,2.50
18:40:55.109,0.00,0.00,0.00,2.50
18:40:55.142,0.00,0.00,0.00,2.50
18:40:55.175,0.00,0.00,0.00,2.50
18:40:55.208,0.00,0.00,0.00,2.50
18:40:55.240,0.00,0.00,0.00,2.50
18:40:55.273,0.00,0.00,0.00,2.50
18:40:55.305,0.00,0.00,0.00,2.50
18:40:55.338,0.00,0.00,0.00,2.50
18:40:55.371,0.00,0.00,0.00,2.50
18:40:55.404,0.00,0.00,0.00,2.50
18:40:55.436,0.00,0.00,0.00,2.50
18:40:55.469,0.00,0.00,0.00,2.50
18:40:55.502,0.00,0.00,0.00,2.50
18:40:55.538,0.00,0.00,0.00,2.50
18:40:55.571,0.00,0.00,0.00,2.50
18:40:55.604,0.00,0.00,0.00,2.50
18:40:55.637,0.00,0.00,0.00,2.50
18:40:55.670,0.00,0.00,0.00,2.50
18:40:55.703,0.00,0.00,0.00,2.50
18:40:55.735,0.00,0.00,0.00,2.50
18:40:55.768,0.00,0.00,0.00,2.50
18:40:55.801,0.00,0.00,0.00,2.50
18:40:55.834,0.00,0.00,0.00,2.50
18:40:55.866,0.00,0.00,0.00,2.50
18:40:55.899,0.00,0.00,0.00,2.50
18:40:55.932,0.00,0.00,0.00,2.50
