"train/global_step","outputs - _step","outputs - _step__MIN","outputs - _step__MAX","outputs - train/loss","outputs - train/loss__MIN","outputs - train/loss__MAX"
"1","0","0","0","2.3525","2.3525","2.3525"
"2","1","1","1","2.3636","2.3636","2.3636"
"3","2","2","2","2.2656","2.2656","2.2656"
"4","3","3","3","2.0221","2.0221","2.0221"
"5","4","4","4","1.7626","1.7626","1.7626"
"6","5","5","5","1.4296","1.4296","1.4296"
"7","6","6","6","1.037","1.037","1.037"
"8","7","7","7","0.7148","0.7148","0.7148"
"9","8","8","8","0.5921","0.5921","0.5921"
"10","9","9","9","0.5167","0.5167","0.5167"
"11","10","10","10","0.3883","0.3883","0.3883"
"12","11","11","11","0.3316","0.3316","0.3316"
"13","12","12","12","0.3613","0.3613","0.3613"
"14","13","13","13","0.426","0.426","0.426"
"15","14","14","14","0.313","0.313","0.313"
"16","15","15","15","0.2948","0.2948","0.2948"
"17","16","16","16","0.2349","0.2349","0.2349"
"18","17","17","17","0.2868","0.2868","0.2868"
"19","18","18","18","0.3064","0.3064","0.3064"
"20","19","19","19","0.232","0.232","0.232"
"21","20","20","20","0.3028","0.3028","0.3028"
"22","21","21","21","0.2671","0.2671","0.2671"
"23","22","22","22","0.2567","0.2567","0.2567"
"24","23","23","23","0.1961","0.1961","0.1961"
"25","24","24","24","0.2404","0.2404","0.2404"
"26","25","25","25","0.2425","0.2425","0.2425"
"27","26","26","26","0.2039","0.2039","0.2039"
"28","27","27","27","0.2496","0.2496","0.2496"
"29","28","28","28","0.2449","0.2449","0.2449"
"30","29","29","29","0.2116","0.2116","0.2116"
"31","30","30","30","0.2075","0.2075","0.2075"
"32","31","31","31","0.2162","0.2162","0.2162"
"33","32","32","32","0.2048","0.2048","0.2048"
"34","33","33","33","0.262","0.262","0.262"
"35","34","34","34","0.2459","0.2459","0.2459"
"36","35","35","35","0.2255","0.2255","0.2255"
"37","36","36","36","0.2286","0.2286","0.2286"
"38","37","37","37","0.2624","0.2624","0.2624"
"39","38","38","38","0.2945","0.2945","0.2945"
"40","39","39","39","0.2534","0.2534","0.2534"
"41","40","40","40","0.2406","0.2406","0.2406"
"42","41","41","41","0.2691","0.2691","0.2691"
"43","42","42","42","0.1693","0.1693","0.1693"
"44","43","43","43","0.2772","0.2772","0.2772"
"45","44","44","44","0.2328","0.2328","0.2328"
"46","45","45","45","0.2458","0.2458","0.2458"
"47","46","46","46","0.2655","0.2655","0.2655"
"48","47","47","47","0.214","0.214","0.214"
"49","48","48","48","0.1961","0.1961","0.1961"
"50","49","49","49","0.1885","0.1885","0.1885"
"51","50","50","50","0.1999","0.1999","0.1999"
"52","51","51","51","0.2294","0.2294","0.2294"
"53","52","52","52","0.2352","0.2352","0.2352"
"54","53","53","53","0.2267","0.2267","0.2267"
"55","54","54","54","0.1972","0.1972","0.1972"
"56","55","55","55","0.2068","0.2068","0.2068"
"57","56","56","56","0.1859","0.1859","0.1859"
"58","57","57","57","0.2381","0.2381","0.2381"
"59","58","58","58","0.1862","0.1862","0.1862"
"60","59","59","59","0.263","0.263","0.263"
"61","60","60","60","0.2241","0.2241","0.2241"
"62","61","61","61","0.2331","0.2331","0.2331"
"63","62","62","62","0.1302","0.1302","0.1302"
"64","63","63","63","0.1915","0.1915","0.1915"
"65","64","64","64","0.1966","0.1966","0.1966"
"66","65","65","65","0.1722","0.1722","0.1722"
"67","66","66","66","0.2014","0.2014","0.2014"
"68","67","67","67","0.1888","0.1888","0.1888"
"69","68","68","68","0.154","0.154","0.154"
"70","69","69","69","0.2509","0.2509","0.2509"
"71","70","70","70","0.2139","0.2139","0.2139"
"72","71","71","71","0.194","0.194","0.194"
"73","72","72","72","0.2266","0.2266","0.2266"
"74","73","73","73","0.2381","0.2381","0.2381"
"75","74","74","74","0.2005","0.2005","0.2005"
"76","75","75","75","0.2137","0.2137","0.2137"
"77","76","76","76","0.1853","0.1853","0.1853"
"78","77","77","77","0.1992","0.1992","0.1992"
"79","78","78","78","0.1576","0.1576","0.1576"
"80","79","79","79","0.2045","0.2045","0.2045"
"81","80","80","80","0.1839","0.1839","0.1839"
"82","81","81","81","0.2109","0.2109","0.2109"
"83","82","82","82","0.2086","0.2086","0.2086"
"84","83","83","83","0.2221","0.2221","0.2221"
"85","84","84","84","0.2107","0.2107","0.2107"
"86","85","85","85","0.2368","0.2368","0.2368"
"87","86","86","86","0.2196","0.2196","0.2196"
"88","87","87","87","0.1587","0.1587","0.1587"
"89","88","88","88","0.1796","0.1796","0.1796"
"90","89","89","89","0.2058","0.2058","0.2058"
"91","90","90","90","0.2242","0.2242","0.2242"
"92","91","91","91","0.2192","0.2192","0.2192"
"93","92","92","92","0.2288","0.2288","0.2288"
"94","93","93","93","0.2384","0.2384","0.2384"
"95","94","94","94","0.1797","0.1797","0.1797"
"96","95","95","95","0.201","0.201","0.201"
"97","96","96","96","0.1906","0.1906","0.1906"
"98","97","97","97","0.2181","0.2181","0.2181"
"99","98","98","98","0.2122","0.2122","0.2122"
"100","99","99","99","0.2093","0.2093","0.2093"
"101","100","100","100","0.1744","0.1744","0.1744"
"102","101","101","101","0.1633","0.1633","0.1633"
"103","102","102","102","0.1754","0.1754","0.1754"
"104","103","103","103","0.1725","0.1725","0.1725"
"105","104","104","104","0.2161","0.2161","0.2161"
"106","105","105","105","0.2465","0.2465","0.2465"
"107","106","106","106","0.1776","0.1776","0.1776"
"108","107","107","107","0.1587","0.1587","0.1587"
"109","108","108","108","0.2117","0.2117","0.2117"
"110","109","109","109","0.1967","0.1967","0.1967"
"111","110","110","110","0.2096","0.2096","0.2096"
"112","111","111","111","0.1573","0.1573","0.1573"
"113","112","112","112","0.1875","0.1875","0.1875"
"114","113","113","113","0.1551","0.1551","0.1551"
"115","114","114","114","0.1781","0.1781","0.1781"
"116","115","115","115","0.2302","0.2302","0.2302"
"117","116","116","116","0.1917","0.1917","0.1917"
"118","117","117","117","0.1573","0.1573","0.1573"
"119","118","118","118","0.213","0.213","0.213"
"120","119","119","119","0.1766","0.1766","0.1766"
"121","120","120","120","0.1402","0.1402","0.1402"
"122","121","121","121","0.1897","0.1897","0.1897"
"123","122","122","122","0.1996","0.1996","0.1996"
"124","123","123","123","0.2046","0.2046","0.2046"
"125","124","124","124","0.2174","0.2174","0.2174"
"126","125","125","125","0.1693","0.1693","0.1693"
"127","126","126","126","0.1339","0.1339","0.1339"
"128","127","127","127","0.2394","0.2394","0.2394"
"129","128","128","128","0.1609","0.1609","0.1609"
"130","129","129","129","0.1696","0.1696","0.1696"
"131","130","130","130","0.1868","0.1868","0.1868"
"132","131","131","131","0.1782","0.1782","0.1782"
"133","132","132","132","0.182","0.182","0.182"
"134","133","133","133","0.211","0.211","0.211"
"135","134","134","134","0.2748","0.2748","0.2748"
"136","135","135","135","0.2451","0.2451","0.2451"
"137","136","136","136","0.1831","0.1831","0.1831"
"138","137","137","137","0.1823","0.1823","0.1823"
"139","138","138","138","0.1981","0.1981","0.1981"
"140","139","139","139","0.157","0.157","0.157"
"141","140","140","140","0.1651","0.1651","0.1651"
"142","141","141","141","0.1449","0.1449","0.1449"
"143","142","142","142","0.1742","0.1742","0.1742"
"144","143","143","143","0.1641","0.1641","0.1641"
"145","144","144","144","0.137","0.137","0.137"
"146","145","145","145","0.1305","0.1305","0.1305"
"147","146","146","146","0.1607","0.1607","0.1607"
"148","147","147","147","0.1505","0.1505","0.1505"
"149","148","148","148","0.1408","0.1408","0.1408"
"150","149","149","149","0.1338","0.1338","0.1338"
"151","150","150","150","0.16","0.16","0.16"
"152","151","151","151","0.1903","0.1903","0.1903"
"153","152","152","152","0.19","0.19","0.19"
"154","153","153","153","0.1941","0.1941","0.1941"
"155","154","154","154","0.1359","0.1359","0.1359"
"156","155","155","155","0.1563","0.1563","0.1563"
"157","156","156","156","0.1495","0.1495","0.1495"
"158","157","157","157","0.1437","0.1437","0.1437"
"159","158","158","158","0.1662","0.1662","0.1662"
"160","159","159","159","0.1577","0.1577","0.1577"
"161","160","160","160","0.1506","0.1506","0.1506"
"162","161","161","161","0.1599","0.1599","0.1599"
"163","162","162","162","0.128","0.128","0.128"
"164","163","163","163","0.1943","0.1943","0.1943"
"165","164","164","164","0.1711","0.1711","0.1711"
"166","165","165","165","0.1289","0.1289","0.1289"
"167","166","166","166","0.1386","0.1386","0.1386"
"168","167","167","167","0.153","0.153","0.153"
"169","168","168","168","0.1718","0.1718","0.1718"
"170","169","169","169","0.1681","0.1681","0.1681"
"171","170","170","170","0.1605","0.1605","0.1605"
"172","171","171","171","0.1468","0.1468","0.1468"
"173","172","172","172","0.1494","0.1494","0.1494"
"174","173","173","173","0.1377","0.1377","0.1377"
"175","174","174","174","0.174","0.174","0.174"
"176","175","175","175","0.1487","0.1487","0.1487"
"177","176","176","176","0.1372","0.1372","0.1372"
"178","177","177","177","0.1385","0.1385","0.1385"
"179","178","178","178","0.1766","0.1766","0.1766"
"180","179","179","179","0.1597","0.1597","0.1597"
"181","180","180","180","0.1392","0.1392","0.1392"
"182","181","181","181","0.1477","0.1477","0.1477"
"183","182","182","182","0.1514","0.1514","0.1514"
"184","183","183","183","0.1515","0.1515","0.1515"
"185","184","184","184","0.1529","0.1529","0.1529"
"186","185","185","185","0.1462","0.1462","0.1462"
"187","186","186","186","0.1422","0.1422","0.1422"
"188","187","187","187","0.1306","0.1306","0.1306"
"189","188","188","188","0.1334","0.1334","0.1334"
"190","189","189","189","0.148","0.148","0.148"
"191","190","190","190","0.1622","0.1622","0.1622"
"192","191","191","191","0.1625","0.1625","0.1625"
"193","192","192","192","0.1501","0.1501","0.1501"
"194","193","193","193","0.1407","0.1407","0.1407"
"195","194","194","194","0.1613","0.1613","0.1613"
"196","195","195","195","0.1465","0.1465","0.1465"
"197","196","196","196","0.1544","0.1544","0.1544"
"198","197","197","197","0.1542","0.1542","0.1542"
"199","198","198","198","0.1514","0.1514","0.1514"
"200","199","199","199","0.1844","0.1844","0.1844"
"201","200","200","200","0.1633","0.1633","0.1633"
"202","201","201","201","0.1298","0.1298","0.1298"
"203","202","202","202","0.1068","0.1068","0.1068"
"204","203","203","203","0.1349","0.1349","0.1349"
"205","204","204","204","0.174","0.174","0.174"
"206","205","205","205","0.1742","0.1742","0.1742"
"207","206","206","206","0.1587","0.1587","0.1587"
"208","207","207","207","0.1704","0.1704","0.1704"
"209","208","208","208","0.1345","0.1345","0.1345"
"210","209","209","209","0.1678","0.1678","0.1678"
"211","210","210","210","0.1816","0.1816","0.1816"
"212","211","211","211","0.1612","0.1612","0.1612"
"213","212","212","212","0.1606","0.1606","0.1606"
"214","213","213","213","0.1393","0.1393","0.1393"
"215","214","214","214","0.1537","0.1537","0.1537"
"216","215","215","215","0.1673","0.1673","0.1673"
"217","216","216","216","0.157","0.157","0.157"
"218","217","217","217","0.1759","0.1759","0.1759"
"219","218","218","218","0.1528","0.1528","0.1528"
"220","219","219","219","0.1427","0.1427","0.1427"
"221","220","220","220","0.1421","0.1421","0.1421"
"222","221","221","221","0.1349","0.1349","0.1349"
"223","222","222","222","0.19","0.19","0.19"
"224","223","223","223","0.1489","0.1489","0.1489"
"225","224","224","224","0.1475","0.1475","0.1475"
"226","225","225","225","0.1655","0.1655","0.1655"
"227","226","226","226","0.131","0.131","0.131"
